DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTK20LESSC1,PARTK20LESSC2,PARTK20LESSC3,PARTK20LESSC4,PARTK20LESSTOT,PARTK2029C1,PARTK2029C2,PARTK2029C3,PARTK2029C4,PARTK2029TOT,PARTK3040C1,PARTK3040C2,PARTK3040C3,PARTK3040C4,PARTK3040TOT,PARTK4150C1,PARTK4150C2,PARTK4150C3,PARTK4150C4,PARTK4150TOT,PARTK5160C1,PARTK5160C2,PARTK5160C3,PARTK5160C4,PARTK5160TOT,PARTK6172C1,PARTK6172C2,PARTK6172C3,PARTK6172C4,PARTK6172TOT,PARTK7380C1,PARTK7380C2,PARTK7380C3,PARTK7380C4,PARTK7380TOT,PARTK80MOREC1,PARTK80MOREC2,PARTK80MOREC3,PARTK80MOREC4,PARTK80MORETOT,PARTKUNKNOWNC1,PARTKUNKNOWNC2,PARTKUNKNOWNC3,PARTKUNKNOWNC4,PARTKUNKNOWNTOT,PARTKNONSTEELC1,PARTKNONSTEELC2,PARTKNONSTEELC3,PARTKNONSTEELC4,PARTKNONSTEELTOT,PARTKONC1TOT,PARTKONC2TOT,PARTKONC3TOT,PARTKONC4TOT,PARTKONTOTAL,PARTKOFFLESS50,PARTKOFF5172,PARTKOFF72MORE,PARTKOFFUNKNOWN,PARTKOFFNONSTEEL,PARTKOFFTOTAL,PARTKC1TOT,PARTKC2TOT,PARTKC3TOT,PARTKC4TOT,PARTKTOTAL
03/01/22,2019,20201085,39792,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,CONNECTICUT,0.04,1.19,10.46,0,11.69,13.68,9.85,25.78,0,49.31,11.11,6.53,46.48,0,64.12,63.98,45.41,73.28,0,182.67,37.39,22.63,19.24,0,79.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.2,85.61,175.24,0,387.05,0,0,0,0,0,0,126.2,85.61,175.24,0,387.05
03/01/22,2019,20201085,39792,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,MASSACHUSETTS,0.25,0.34,1.4,2.23,4.22,10.86,8.61,23.18,6.92,49.57,33.11,18.3,61.99,3.53,116.93,55.13,49.25,107.46,0.11,211.95,9.92,8.81,12.38,0,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.27,85.31,206.41,12.79,413.78,5.58,37.59,0,0,0,43.17,152.44,85.31,206.41,12.79,456.95
03/01/22,2019,20201085,39792,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW JERSEY,0,0,0,0,0,0,0,0,0,0,1.07,0.74,8.97,0,10.78,24.34,5.19,48.46,0,77.99,18.11,3.24,22.27,0,43.62,2.7,0.78,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.22,9.95,79.7,0,135.87,0,0,0,0,0,0,46.22,9.95,79.7,0,135.87
03/01/22,2019,20201085,39792,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NEW YORK,0,0,0.37,0,0.37,0.76,0.27,0.05,0,1.08,3.21,0.92,1.63,0,5.76,14.73,6.75,47.03,0,68.51,3.77,1.99,5.92,0,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47,9.93,55,0,87.4,0,0,0,0,0,0,22.47,9.93,55,0,87.4
03/01/22,2019,20201085,39792,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,OCS-Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,3.57,3.57,0,0,0,3.57
03/01/22,2019,20201085,39792,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,RHODE ISLAND,0.12,0.03,0.21,0,0.36,2.27,3.16,3.04,0,8.47,4.01,2.06,6.94,0,13.01,4.24,0.39,16.43,0,21.06,7.79,6.12,1.56,0,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.43,11.76,28.18,0,58.37,1.75,0,0,0,0,1.75,20.18,11.76,28.18,0,60.12
03/01/22,2019,20200442,37116,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,KANSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0.01,0,1.72,1.71,0,0.01,0,1.72,0,0,0,0,0,0,1.71,0,0.01,0,1.72
03/01/22,2019,20200442,37116,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,TEXAS,13.83,0.4,0,0,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,0.4,0,0,14.23,0,0,0,0,0,0,13.83,0.4,0,0,14.23
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ARKANSAS,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.003,6.224,0.306,0.339,0,6.869,1.382,0.594,0.956,0,2.932,53.562,1.016,0,0,54.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.171,1.916,1.295,0,64.382,0,0,0,0,0,0,61.171,1.916,1.295,0,64.382
03/01/22,2019,20200926,38134,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ILLINOIS,0,0,0,0,0,7.815,0.878,0.619,0,9.312,2.858,1.756,1.907,0,6.521,8.901,6.413,12.797,0,28.111,52.574,7.86,4.839,0,65.273,483.317,40.617,3.126,0,527.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.465,57.524,23.288,0,636.277,0,0,0,0,0,0,555.465,57.524,23.288,0,636.277
