DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTF1A,PARTF1B,PARTF1C,PARTF1D,PARTF1DOTH,PARTF1E,PARTF2A,PARTF2B,PARTF2C,PARTF2C1,PARTF2C2,PARTF2C3,PARTF2C4,PARTF3A,PARTF3B,PARTF3C,PARTF3D,PARTF4A,PARTF4A1,PARTF4A2,PARTF4A3,PARTF4B,PARTF4B1,PARTF4B2,PARTF4B3,PARTF4C,PARTF4C1,PARTF4C2,PARTF4C3,PARTF4C4,PARTF5A,PARTF5AOTH,PARTF5B,PARTF5C,PARTF5C1,PARTF5C2,PARTF5C3,PARTF5C4,PARTF6A,PARTF6B,PARTF6C,PARTF6D,PARTF6E,PARTGMBA,PARTGMRC,PARTGTOTMILES
03/01/22,2020,20210142,38385,19125,TEAVEE OIL & GAS INC,Natural Gas,INTRASTATE,WEST VIRGINIA,4.25,,,,,4.25,,,,,,,,,,,,4.25,4.25,,,,,,,,,,,,,,,,,,,,8.5,,,,,4.25,0,4.25
03/01/22,2020,20210875,39180,19160,TENNESSEE GAS PIPELINE COMPANY,Natural Gas,INTERSTATE,,1261.908,627.014,979.512,389.61,Hardspot,3258.044,676,231,4,3,0,0,1,0,0,0,0,101.102,0.088,0,101.014,3,1,0,2,3,0,0,0,3,0,,0,0,0,0,0,0,3359.146,234,7,4,0,31.094,29.481,60.575
03/01/22,2020,20211086,39724,19235,"TEXAS EASTERN TRANSMISSION, LP (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,,2711.3,4950.19,0,7202.43,IMU & MFL-HS,14863.92,1016,847,20,0,2,0,18,0,0,0,0,20.24,0,0,20.24,2,0,0,2,2,0,0,0,2,0,,0,0,0,0,0,0,14884.16,849,22,10,0,56.72,209.66,266.38
03/01/22,2020,20210274,38540,19269,TGG PIPELINE LTD,Natural Gas,INTRASTATE,LOUISIANA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20210725,39019,19270,"TEXAS GAS TRANSMISSION, LLC",Natural Gas,INTERSTATE,,361.9,361.9,,,,723.8,25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.8,18,,,,1.6,24.8,26.4
03/01/22,2020,20210706,39000,19301,TEXAS MUNICIPAL POWER AGENCY,Natural Gas,INTRASTATE,TEXAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210873,39177,19319,"TPC GROUP, LLC",Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,,,
03/01/22,2020,20210871,39175,19319,"TPC GROUP, LLC",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210744,39041,19410,THUMS LONG BEACH CO,Natural Gas,INTRASTATE,CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/22,2020,20210801,39101,19490,"TOCCOA NATURAL GAS SYSTEM, CITY OF",Natural Gas,INTRASTATE,GEORGIA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2.6,0,0,0,0,0.2,2.4,2.6
03/01/22,2020,20210801,39101,19490,"TOCCOA NATURAL GAS SYSTEM, CITY OF",Natural Gas,INTRASTATE,NORTH CAROLINA,0,0,0,0,,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
03/01/22,2020,20210975,39287,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,Natural Gas,INTERSTATE,,1119.4,1119.4,892.5,0,,3131.3,183,102,,,,,,0,0,,,27.01,0.51,0,26.5,0,0,0,0,,,,,,0,,0,,,,,,3158.31,102,,,,,,
03/01/22,2020,20210825,39125,19574,TRAILBLAZER PIPELINE CO,Natural Gas,INTERSTATE,,169.56,169.56,,,,339.12,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,339.12,0,,,,,,
03/01/22,2020,20210548,38830,19580,TRANSCOLORADO GAS TRANSMISSION COMPANY LLC,Natural Gas,INTERSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/22,2020,20210890,39198,19610,TRANSWESTERN PIPELINE COMPANY LLC,Natural Gas,INTERSTATE,,118.36,118.36,0,0,,236.72,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,236.72,1,0,0,0,0,1.23,1.23
03/01/22,2020,20210892,39200,19730,TRUNKLINE GAS CO,Natural Gas,INTERSTATE,,65.85,65.85,0,0,,131.7,0,0,0,0,0,0,0,15.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,146.83,1,0,0,0,0,0,0
03/01/22,2020,20210645,38932,19890,UCAR LOUISIANA PIPELINE CO,Natural Gas,INTRASTATE,LOUISIANA,1.43,1.43,0,0,,2.86,9,1,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,2.86,1,,,,0,0,0
03/01/22,2020,20210496,39745,19892,UCAR PIPELINE INCORPORATED,Other Gas-Ethylene,INTERSTATE,,49.52,49.52,0,0,,99.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,99.04,0,0,0,0,0,9,9
03/01/22,2020,20210496,39745,19892,UCAR PIPELINE INCORPORATED,Other Gas-Ethylene,INTRASTATE,TEXAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/22,2020,20211179,39499,20010,"UGI UTILITIES, INC",Natural Gas,INTRASTATE,PENNSYLVANIA,,,,,,,,,,,,,,,,,,5.3,5.3,,,,,,,,,,,,,,,,,,,,5.3,,,,,0,0.83,0.83
03/01/22,2020,20210586,38869,20044,LINDE,Hydrogen Gas,INTERSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210586,38869,20044,LINDE,Hydrogen Gas,INTRASTATE,ALABAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210586,38869,20044,LINDE,Hydrogen Gas,INTRASTATE,INDIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210586,38869,20044,LINDE,Hydrogen Gas,INTRASTATE,LOUISIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210586,38869,20044,LINDE,Hydrogen Gas,INTRASTATE,MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210586,38869,20044,LINDE,Hydrogen Gas,INTRASTATE,NEW YORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/22,2020,20210586,38869,20044,LINDE,Hydrogen Gas,INTRASTATE,OHIO,3.59,3.59,3.59,0,,10.77,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,10.77,0,0,0,0,0,0,0
03/01/22,2020,20210586,38869,20044,LINDE,Hydrogen Gas,INTRASTATE,UTAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210560,38842,20044,LINDE,Natural Gas,INTRASTATE,TEXAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210194,38440,20046,UNION CARBIDE CHEMICALS & PLASTICS CO INC,Natural Gas,INTRASTATE,WEST VIRGINIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210861,39896,20050,AMERENUE,Natural Gas,INTRASTATE,ILLINOIS,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210861,39896,20050,AMERENUE,Natural Gas,INTRASTATE,MISSOURI,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20210921,39230,20110,DUKE ENERGY KENTUCKY,Natural Gas,INTRASTATE,KENTUCKY,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,4.12,0,17,0,17,0,0,0,0,0,0,0,None,0,0,0,0,0,0,4.12,17,0,0,0,1.97,0,1.97
03/01/22,2020,20211015,39328,20211,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),Natural Gas,INTRASTATE,TENNESSEE,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20210942,39590,20236,UNITED STATES GYPSUM CO,Natural Gas,INTRASTATE,IOWA,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210942,39590,20236,UNITED STATES GYPSUM CO,Natural Gas,INTRASTATE,NEW YORK,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210942,39590,20236,UNITED STATES GYPSUM CO,Natural Gas,INTRASTATE,OREGON,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,2,Close Interval Survey and Alternating Current Voltage Gradient,1,,,,,,2,1,,,,0,0,0
03/01/22,2020,20210942,39590,20236,UNITED STATES GYPSUM CO,Natural Gas,INTRASTATE,PENNSYLVANIA,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210343,38611,20263,UNIVERSITY OF ILLINOIS - LATERAL,Natural Gas,INTRASTATE,ILLINOIS,11.24,11.24,0,0,,22.48,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,22.48,0,0,,,0,11.68,11.68
03/01/22,2020,20210156,38399,21030,"VALLEY ENERGY, INC.",Natural Gas,INTRASTATE,PENNSYLVANIA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20210652,38945,21153,VARIBUS CORP,Natural Gas,INTRASTATE,LOUISIANA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20210928,39777,21190,VERMONT GAS SYSTEMS INC,Natural Gas,INTRASTATE,VERMONT,,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
03/01/22,2020,20211130,39450,21252,VIKING GAS TRANSMISSION CO,Natural Gas,INTERSTATE,,71.21,71.21,0,0,,142.42,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,142.42,2,0,0,0,0,2.31,2.31
03/01/22,2020,20211114,39433,21349,VIRGINIA NATURAL GAS,Natural Gas,INTRASTATE,VIRGINIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20211172,39492,21359,SASOL CHEMICALS USA LLC,Hydrogen Gas,INTRASTATE,LOUISIANA,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,,,
03/01/22,2020,20211173,39493,21359,SASOL CHEMICALS USA LLC,Other Gas-Ethylene,INTRASTATE,LOUISIANA,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210809,39109,22035,WAKEFIELD MUNICIPAL LIGHT DEPT,Natural Gas,INTRASTATE,MASSACHUSETTS,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0
03/01/22,2020,20211205,39526,22154,WARNER ROBINS GAS SYSTEM,Natural Gas,INTRASTATE,GEORGIA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20211208,39529,22182,WASHINGTON GAS LIGHT CO,Natural Gas,INTRASTATE,MARYLAND,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,4.54,4.54,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4.54,2,0,0,0,0,1.6,1.6
03/01/22,2020,20211208,39529,22182,WASHINGTON GAS LIGHT CO,Natural Gas,INTRASTATE,VIRGINIA,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,15.18,15.18,0,0,7,7,0,0,2,1,0,1,0,0,,0,0,0,0,0,0,15.18,8,2,0,0,0,10.29,10.29
03/01/22,2020,20211208,39529,22182,WASHINGTON GAS LIGHT CO,Natural Gas,INTRASTATE,WASHINGTON DC,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
03/01/22,2020,20210991,39304,22189,PUGET SOUND ENERGY,Landfill Gas,INTRASTATE,WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/22,2020,20210996,39309,22189,PUGET SOUND ENERGY,Natural Gas,INTERSTATE,,3.645,3.645,,,,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29,,,,,0,0.199,0.199
03/01/22,2020,20210996,39309,22189,PUGET SOUND ENERGY,Natural Gas,INTRASTATE,WASHINGTON,,,,,,,,,,,,,,,,,,1.396,1.396,,,,,,,,,,,,,,,,,,,,1.396,,,,,0,1.199,1.199
03/01/22,2020,20210530,38812,22235,WAUKEE MUNICIPAL GAS,Natural Gas,INTRASTATE,IOWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,0,0,,0,0,0,0,0
03/01/22,2020,20210944,39254,22280,WAYLAND MUNICIPAL GAS CO,Natural Gas,INTRASTATE,IOWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210971,39283,22343,"WEIR NATURAL GAS SYSTEM, TOWN OF",Natural Gas,INTRASTATE,MISSISSIPPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210227,38473,22357,WELLMAN MUNICIPAL GAS SYSTEM,Natural Gas,INTRASTATE,IOWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Patrol of transmission line,,,,,,,7,,,,,0,0,0
03/01/22,2020,20210070,38297,22368,WEST BAY EXPLORATION CO,Natural Gas,INTRASTATE,MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210858,39161,22410,"WESTGAS INTERSTATE, INC",Natural Gas,INTERSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210410,38681,22435,WEST TEXAS GAS INC,Natural Gas,INTRASTATE,TEXAS,,,,,,,,,,,,,,4.06,0,0,0,,,,,,,,,,,,,,,,,,,,,,4.06,0,0,0,0,,,
03/01/22,2020,20210537,38819,22465,TARGA PIPELINE MID-CONTINENT WESTTEX LLC,Natural Gas,INTRASTATE,TEXAS,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20211020,39333,22476,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),Natural Gas,INTRASTATE,KENTUCKY,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20211271,39778,22515,"NIPPON DYNAWAVE PACKAGING CO., LLC",Natural Gas,INTRASTATE,WASHINGTON,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,1,1,0,0,0,9,9
03/01/22,2020,20210246,38492,22605,WILCOX COUNTY GAS DISTRIBUTION,Natural Gas,INTRASTATE,ALABAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20211256,39579,22655,"WBI ENERGY TRANSMISSION, INC.",Natural Gas,INTERSTATE,,0,0,0,0,,0,,0,0,0,0,0,0,4.42,0,0,0,150.43,1.14,149.29,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,154.85,0,0,,,2.28,3.27,5.55
03/01/22,2020,20210617,38902,22763,WISCONSIN GAS LLC DBA WE ENERGIES,Natural Gas,INTRASTATE,WISCONSIN,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3.07,3.07,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,,,0.08,2.52,2.6
03/01/22,2020,20210616,38901,22777,WISCONSIN ELECTRIC POWER COMPANY DBA WE ENERGIES,Natural Gas,INTRASTATE,MICHIGAN,7.3,7.3,,,,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14.6,0,0,0,0,0,0.6,0.6
03/01/22,2020,20210616,38901,22777,WISCONSIN ELECTRIC POWER COMPANY DBA WE ENERGIES,Natural Gas,INTRASTATE,WISCONSIN,8.39,8.39,,,,16.78,21,15,6,0,0,6,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,17.55,15,6,,,0.35,2.66,3.01
03/01/22,2020,20210676,38969,22784,ALLIANT ENERGY - WISCONSIN POWER & LIGHT CO,Natural Gas,INTRASTATE,WISCONSIN,6.02,6.02,,,,12.04,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12.04,2,2,0,0,0,1.86,1.86
03/01/22,2020,20210323,38590,22791,WISCONSIN PUBLIC SERVICE CORP,Natural Gas,INTRASTATE,WISCONSIN,12.3,12.3,,,,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,24.6,0,0,0,0,0.14,3.15,3.29
03/01/22,2020,20211106,39425,22818,WOLVERINE POWER SUPPLY COOP INC,Natural Gas,INTRASTATE,MICHIGAN,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210534,38816,22855,"FLINT HILLS RESOURCES, LC",Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20210533,38815,22855,"FLINT HILLS RESOURCES, LC",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20210535,38817,22855,"FLINT HILLS RESOURCES, LC",Other Gas-Acetylene,INTRASTATE,TEXAS,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20210780,39080,22917,WYOMING GAS CO,Natural Gas,INTRASTATE,WYOMING,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20211087,39406,25000,ZIA NATURAL GAS CO,Natural Gas,INTRASTATE,NEW MEXICO,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210786,39086,25146,"EQUISTAR CHEMICALS, L.P.",Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20210788,39088,25146,"EQUISTAR CHEMICALS, L.P.",Natural Gas,INTRASTATE,IOWA,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210788,39088,25146,"EQUISTAR CHEMICALS, L.P.",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210773,39759,25146,"EQUISTAR CHEMICALS, L.P.",Other Gas-Propylene Off Gas,INTRASTATE,TEXAS,0,0,0,0,,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06
03/01/22,2020,20210916,39224,25160,MOBIL VANDERBILT-BEAUMONT PIPELINE CO,Natural Gas,INTRASTATE,TEXAS,0,0,0,0,,0,8,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8,8,0,0,0,0,0
03/01/22,2020,20211126,39445,26039,FLORIDA POWER & LIGHT CO,Natural Gas,INTRASTATE,FLORIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20211119,39438,26085,"PLAINS MARKETING, L.P.",Natural Gas,INTRASTATE,LOUISIANA,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210935,39245,26112,"VALERO REFINING-TEXAS, L.P.",Hydrogen Gas,INTRASTATE,TEXAS,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0
03/01/22,2020,20210934,39244,26112,"VALERO REFINING-TEXAS, L.P.",Natural Gas,INTRASTATE,TEXAS,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,0,0,0
03/01/22,2020,20210678,38971,26149,ALYESKA PIPELINE SERVICE CO,Natural Gas,INTRASTATE,ALASKA,0.2,0.2,0,0,,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0
03/01/22,2020,20210829,39129,26330,"ENABLE OKLAHOMA INTRASTATE TRANSMISSION, LLC",Natural Gas,INTRASTATE,OKLAHOMA,280.7,280.7,165.7,280.7,Internal Mapping Unit,1007.8,736,697,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1007.8,697,5,0,0,0,9.1,9.1
03/01/22,2020,20210829,39129,26330,"ENABLE OKLAHOMA INTRASTATE TRANSMISSION, LLC",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,0,0
03/01/22,2020,20210982,39701,30020,W & T OFFSHORE INC,Natural Gas,INTRASTATE,ALABAMA,,,,,over flight,,0,0,,,,,,0,0,,,,,,,,,,,,,,,,36.04,over flight,0,,,,,,36.04,0,,,,0,0,0
03/01/22,2020,20210128,38369,30024,SOUTH DAKOTA INTRASTATE PIPELINE CO.,Natural Gas,INTRASTATE,SOUTH DAKOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20211032,39345,30026,"BAY GAS STORAGE COMPANY, LLC",Natural Gas,INTRASTATE,ALABAMA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/22,2020,20210529,38811,30028,"EGAN HUB STORAGE, LLC (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,,10,10,0,10,IMU,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,30,0,0,0,0,0,0,0
03/01/22,2020,20210268,38514,30040,CITY OF GIRARD,Natural Gas,INTRASTATE,KANSAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210390,39747,30052,NEVADA GOLD MINES,Natural Gas,INTRASTATE,NEVADA,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,28,Visual,0,,,,,,28,0,,,,0,0,0
03/01/22,2020,20211177,39497,30054,KENTUCKY UTILITIES CO,Natural Gas,INTRASTATE,KENTUCKY,0,0,0,0,,0,0,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,,,0,0,,,,,,
03/01/22,2020,20210209,38455,30062,"BRADKEN-ATCHISON/ST. JOSEPH, INC",Natural Gas,INTRASTATE,KANSAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20210973,39285,30515,WINFIELD MUNICIPAL GAS,Natural Gas,INTRASTATE,IOWA,0,0,0,0,,0,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,,,,,6.2,Pipeline Patrol and Cathodic Protection,0,,,,,,6.2,0,,,,0,0,0
03/01/22,2020,20210898,39206,30544,OCCIDENTAL CHEMICAL CORP,Hydrogen Gas,INTRASTATE,NEW YORK,,,,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,0.2,,,,,0,0,0
03/01/22,2020,20211222,39544,30544,OCCIDENTAL CHEMICAL CORP,Natural Gas,INTRASTATE,TEXAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/01/22,2020,20211144,39464,30563,GROVE MUNICIPAL SERVICES AUTHORITY,Natural Gas,INTRASTATE,OKLAHOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
