DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTHON4LESS,PARTHON6,PARTHON8,PARTHON10,PARTHON12,PARTHON14,PARTHON16,PARTHON18,PARTHON20,PARTHON22,PARTHON24,PARTHON26,PARTHON28,PARTHON30,PARTHON32,PARTHON34,PARTHON36,PARTHON38,PARTHON40,PARTHON42,PARTHON44,PARTHON46,PARTHON48,PARTHON50,PARTHON52,PARTHON54,PARTHON56,PARTHON58OVER,PARTHON_OTHER_PIPE_DETAIL,PARTHON_OTHER_PIPE_MILE_TOTAL,PARTHONTOTAL,PARTHOFF4LESS,PARTHOFF6,PARTHOFF8,PARTHOFF10,PARTHOFF12,PARTHOFF14,PARTHOFF16,PARTHOFF18,PARTHOFF20,PARTHOFF22,PARTHOFF24,PARTHOFF26,PARTHOFF28,PARTHOFF30,PARTHOFF32,PARTHOFF34,PARTHOFF36,PARTHOFF38,PARTHOFF40,PARTHOFF42,PARTHOFF44,PARTHOFF46,PARTHOFF48,PARTHOFF50,PARTHOFF52,PARTHOFF54,PARTHOFF56,PARTHOFF58OVER,PARTHOFF_OTHER_PIPE_DETAIL,PARTHOFF_OTHER_PIPE_MILE_TOTAL,PARTHOFFTOTAL
03/01/22,2020,20210418,38689,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,TEXAS,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ARKANSAS,0,0,0,0,0,0,0,0,0,0,3.885,0,0,40.65,0,0,19.848,0,0,0,0,0,0,0,0,0,0,0,,,64.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,ILLINOIS,8.902,0,0,5.613,18.799,0,0.178,0,4.121,120.23,322.078,0,0,126.679,0,0,0,0,0,29.678,0,0,0,0,0,0,0,0,,,636.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,INDIANA,29.604,28.221,0,0,18.962,0,0.417,0,5,108.412,62.027,0.006,0,581.601,0,0,114.081,0,0,27.972,0,0,0,0,0,0,0,0,,,976.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,IOWA,102.306,101.883,22.767,12.967,21.387,0,11.84,0,0,0,309.069,0,0,19.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,601.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KANSAS,2.678,0,0,0,0,0,1.863,0,71.035,0,704.01,0,0,52.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,832.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,KENTUCKY,3.8,0,0,0,0,0,0,0,0,0,0.969,0.008,0,229.49,0,0,43.856,0,0,0,0,0,0,0,0,0,0,0,,,278.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,LOUISIANA,0.597,11.742,29.737,0.617,48.235,0,60.571,0,83.318,0,59.649,56.335,0,535.245,0,0,66.361,0,0,0,0,0,0,0,0,0,0,0,,,952.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MICHIGAN,121.011,130.67,58.326,50.359,73.606,0.002,30.513,0.133,64.753,187.987,172.428,0.332,0,274.555,0,0,55.76,0,0,91.024,0,0,0,0,0,0,0,0,,,1311.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSISSIPPI,0,0,0,0,0,0,0,0,0,0,4.038,0,0,293.331,0,0,75.59,0,0,0,0,0,0,0,0,0,0,0,,,372.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,MISSOURI,56.965,5.14,0,0.377,0,0,0,0,0,0,189.731,0,0,19.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,272.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,NEBRASKA,0,0,0,0,0,0,0,0,0,0,8.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,OHIO,7.145,10.121,0,0,44.51,0,0,0,36.372,24.917,24.927,0,0,148.886,0,0,19.43,0,0,0,0,0,0,0,0,0,0,0,,,316.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,OKLAHOMA,0,0.482,9.138,27.462,0.179,0,148.773,0,101.849,0,58.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,346.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,TENNESSEE,0,0,0,0,0.196,0,0,0,0,0,0,0,0,254.726,0,0,73.946,0,0,0,0,0,0,0,0,0,0,0,,,328.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,TEXAS,0.432,0.004,0,20.25,0,0,25.614,0,89.046,0,1.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,137.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
03/01/22,2020,20210904,39212,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,WISCONSIN,183.014,294.17,193.976,172.428,223.423,36.172,212.917,1.44,48.837,39.102,132.178,0,0,277.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1814.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
