DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTOFFC1,PARTLTOFFTOT,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL,PARTLTONIMP,PARTLTOFFIMP,PARTLTOTALIMP
03/01/22,2018,20190249,35566,39235,"AJAX PIPE LINE COMPANY, LLC",Natural Gas,INTRASTATE,WEST VIRGINIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81,0,7.81,0,0,0,0,7.81,0,7.81,0,0,7.81,0,7.81,,,
03/01/22,2018,20190153,35461,39236,TITANIUM METALS CORPORATION,Other Gas-Dry Chlorine Gas,INTRASTATE,NEVADA,0,0,0.6,0,0.6,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0.6,,0.6
03/01/22,2018,20197676,35193,39246,"VISTA ENERGY, INC.",Natural Gas,INTRASTATE,PENNSYLVANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.66,0,7.66,0,0,0,7,0.66,0,7.66,0,7,0.66,0,7.66,,,
03/01/22,2018,20191110,36485,39248,"DIVIDE CREEK GATHERING SYSTEM, LLC",Natural Gas,INTRASTATE,COLORADO,4.01,0,0,0,4.01,0,0,4.01,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,4.01,,,
03/01/22,2018,20190502,35840,39249,"BRD ONE, LLC",Landfill Gas,INTRASTATE,NEBRASKA,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,,0
03/01/22,2018,20190434,35771,39250,AIX ENERGY LLC,Natural Gas,INTRASTATE,ALASKA,0,0.25,1.27,0,1.52,0,0,0,0.25,1.27,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.27,0,1.52,1.27,,1.27
03/01/22,2018,20190526,35869,39251,"FOUNDATION ENERGY MANAGEMENT, LLC",Natural Gas,INTRASTATE,COLORADO,5.25,0,0,0,5.25,,,5.25,0,0,0,5.25,,,,,,,,,,,,,,,,5.25,0,0,0,5.25,,,
03/01/22,2018,20190526,35869,39251,"FOUNDATION ENERGY MANAGEMENT, LLC",Natural Gas,INTRASTATE,KANSAS,36.55,0,0,0,36.55,0,0,36.55,0,0,0,36.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.55,0,0,0,36.55,,,
03/01/22,2018,20190526,35869,39251,"FOUNDATION ENERGY MANAGEMENT, LLC",Natural Gas,INTRASTATE,NEBRASKA,6,0,0,0,6,,,6,0,0,0,6,,,,,,,,,,,,,,,,6,0,0,0,6,,,
03/01/22,2018,20197752,36542,39252,"FASKEN OIL AND RANCH, LTD.",Natural Gas,INTRASTATE,TEXAS,11,0,0,0,11,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,,,
03/01/22,2018,20190483,35821,39253,"CONSOLIDATED ASSET MANAGEMENT SERVICES (TX), LLC",Natural Gas,INTRASTATE,TEXAS,0,0,19.9,0,19.9,0,0,0,0,19.9,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,0,19.9,19.9,,19.9
03/01/22,2018,20197715,35232,39255,"ARSENAL MIDSTREAM, LLC",Natural Gas,INTRASTATE,WEST VIRGINIA,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.43,0,0.95,0,0,0,0,0,0,0,0.52,0.43,0,0.95,0,0.52,0.43,0,0.95,,,
03/01/22,2018,20190650,36139,39256,ALLIANCE PETROLEUM CORPORATION,Natural Gas,INTRASTATE,KENTUCKY,15.21,11.76,2.43,0,29.4,0,0,15.21,11.76,2.43,0,29.4,20.08,2.03,0,22.11,2.23,2.39,0,4.62,0,0,0,22.31,4.42,0,26.73,15.21,34.07,6.85,0,56.13,0.27,,0.27
03/01/22,2018,20190650,36139,39256,ALLIANCE PETROLEUM CORPORATION,Natural Gas,INTRASTATE,PENNSYLVANIA,3.87,29.831,0,0,33.701,0,0,3.87,29.831,0,0,33.701,0,0,0,0,2.557,13.52,0,16.077,0,0,0,2.557,13.52,0,16.077,3.87,32.388,13.52,0,49.778,,,
03/01/22,2018,20190650,36139,39256,ALLIANCE PETROLEUM CORPORATION,Natural Gas,INTRASTATE,VIRGINIA,0,0,0,0,0,0,0,0,0,0,0,0,7.8,1.98,0,9.78,0,0,0,0,0,0,0,7.8,1.98,0,9.78,0,7.8,1.98,0,9.78,,,
03/01/22,2018,20190650,36139,39256,ALLIANCE PETROLEUM CORPORATION,Natural Gas,INTRASTATE,WEST VIRGINIA,0,0.13,0.76,0,0.89,0,0,0,0.13,0.76,0,0.89,2.44,1.76,0,4.2,2.41,18.88,0,21.29,0,0,0,4.85,20.64,0,25.49,0,4.98,21.4,0,26.38,,,
03/01/22,2018,20191106,36475,39263,HAYNESVILLE GATHERING LP,Natural Gas,INTRASTATE,LOUISIANA,2.67,0,0,0,2.67,0,0,2.67,0,0,0,2.67,1.78,0,0,1.78,0,0,0,0,0,0,0,1.78,0,0,1.78,2.67,1.78,0,0,4.45,0,,0
