DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTJTONUNKWN,PARTJTONPRE1940,PARTJTON194049,PARTJTON195059,PARTJTON196069,PARTJTON197079,PARTJTON198089,PARTJTON199099,PARTJTON200009,PARTJTON201019,PARTJTON202029,PARTJTONTOTAL,PARTJTOFFUNKWN,PARTJTOFFPRE1940,PARTJTOFF194049,PARTJTOFF195059,PARTJTOFF196069,PARTJTOFF197079,PARTJTOFF198089,PARTJTOFF199099,PARTJTOFF200009,PARTJTOFF201019,PARTJTOFF202029,PARTJTOFFTOTAL,PARTJTUNKWNTOT,PARTJTPRE1940TOT,PARTJT194049TOT,PARTJT195059TOT,PARTJT196069TOT,PARTJT197079TOT,PARTJT198089TOT,PARTJT199099TOT,PARTJT200009TOT,PARTJT201019TOT,PARTJT202029TOT,PARTJTTOTAL,PARTJGONAUNKWN,PARTJGONAPRE1940,PARTJGONA194049,PARTJGONA195059,PARTJGONA196069,PARTJGONA197079,PARTJGONA198089,PARTJGONA199099,PARTJGONA200009,PARTJGONA201019,PARTJGONA202029,PARTJGONATOTAL,PARTJGONBUNKWN,PARTJGONBPRE1940,PARTJGONB194049,PARTJGONB195059,PARTJGONB196069,PARTJGONB197079,PARTJGONB198089,PARTJGONB199099,PARTJGONB200009,PARTJGONB201019,PARTJGONB202029,PARTJGONBTOTAL,PARTJGOFFUNKWN,PARTJGOFFPRE1940,PARTJGOFF194049,PARTJGOFF195059,PARTJGOFF196069,PARTJGOFF197079,PARTJGOFF198089,PARTJGOFF199099,PARTJGOFF200009,PARTJGOFF201019,PARTJGOFF202029,PARTJGOFFTOTAL,PARTJGUNKWNTOT,PARTJGPRE1940TOT,PARTJG194049TOT,PARTJG195059TOT,PARTJG196069TOT,PARTJG197079TOT,PARTJG198089TOT,PARTJG199099TOT,PARTJG200009TOT,PARTJG201019TOT,PARTJG202029TOT,PARTJGTOTAL,PARTJUNKWNTOT,PARTJPRE1940TOT,PARTJ194049TOT,PARTJ195059TOT,PARTJ196069TOT,PARTJ197079TOT,PARTJ198089TOT,PARTJ199099TOT,PARTJ200009TOT,PARTJ201019TOT,PARTJ202029TOT,PARTJTOTAL
03/01/22,2018,20190864,36217,3532,DOW INTRASTATE GAS CO,Natural Gas,INTRASTATE,LOUISIANA,0,0,0,0,0,7.85,0.05,0,0,0.04,,7.94,,0,,,,,,,,,,0,0,0,0,0,0,7.85,0.05,0,0,0.04,,7.94,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7.85,0.05,0,0,0.04,,7.94
03/01/22,2018,20190865,36218,3535,DOW PIPELINE CO,Other Gas-Ethylene,INTRASTATE,LOUISIANA,0,0,0,0,0,28.81,0,0,0,0,,28.81,,,,,,,,,,,,,0,0,0,0,0,28.81,0,0,0,0,,28.81,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,28.81,0,0,0,0,,28.81
03/01/22,2018,20190594,35939,3590,CITY OF DULUTH PUBLIC WORKS & UTILITIES,Natural Gas,INTERSTATE,MINNESOTA,0,0,0,0,0,0,0,0,0.6,0,,0.6,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.6,0,,0.6,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.6,0,,0.6
03/01/22,2018,20190594,35939,3590,CITY OF DULUTH PUBLIC WORKS & UTILITIES,Natural Gas,INTERSTATE,WISCONSIN,0,0,0,0,0,0,0,0,4.7,0,,4.7,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4.7,0,,4.7,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,4.7,0,,4.7
03/01/22,2018,20190339,36461,3830,"GARLAND, CITY OF",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,5.89,0,0,0,,5.89,,0,,,,,,,,,,0,0,0,0,0,0,0,5.89,0,0,0,,5.89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5.89,0,0,0,,5.89
03/01/22,2018,20190368,35703,4005,E M W GAS ASSOCIATION,Natural Gas,INTRASTATE,NEW MEXICO,0,0,0,0,0,0,0,18.5,19,34,,71.5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18.5,19,34,,71.5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18.5,19,34,,71.5
03/01/22,2018,20190787,36571,4060,DOMINION ENERGY OHIO,Natural Gas,INTRASTATE,OHIO,0.32,0,134.35,342.46,341.18,61.39,13.05,10.6,41.1,62.52,,1006.97,,,,,,,,,,,,,0.32,0,134.35,342.46,341.18,61.39,13.05,10.6,41.1,62.52,,1006.97,0,3.29,0.35,0.31,32.28,68.27,104.91,0.05,11.56,3.15,,224.17,9.91,10.78,30.87,53.35,187.58,106.64,148.61,27.02,16.51,28.23,,619.5,,,,,,,,,,,,,9.91,14.07,31.22,53.66,219.86,174.91,253.52,27.07,28.07,31.38,,843.67,10.23,14.07,165.57,396.12,561.04,236.3,266.57,37.67,69.17,93.9,,1850.64
03/01/22,2018,20190552,38130,4070,"EAST TENNESSEE NATURAL GAS, LLC (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,GEORGIA,0,0,0,0,0,0,0,0,26.64,0,,26.64,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,26.64,0,,26.64,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,26.64,0,,26.64
03/01/22,2018,20190552,38130,4070,"EAST TENNESSEE NATURAL GAS, LLC (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,NORTH CAROLINA,0,0,0,0,0,0,0,0,8.43,0,,8.43,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,8.43,0,,8.43,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,8.43,0,,8.43
03/01/22,2018,20190552,38130,4070,"EAST TENNESSEE NATURAL GAS, LLC (SPECTRA ENERGY PARTNERS, LP)",Natural Gas,INTERSTATE,TENNESSEE,0,0,0,660.37,61.2,44.75,52.05,75.63,85.84,41.87,,1021.71,,0,,,,,,,,,,0,0,0,0,660.37,61.2,44.75,52.05,75.63,85.84,41.87,,1021.71,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,660.37,61.2,44.75,52.05,75.63,85.84,41.87,,1021.71
