DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTQUNKWNHF,PARTQPRE40HF,PARTQ1940HF,PARTQ1950HF,PARTQ1960HF,PARTQ1970HF,PARTQ1980HF,PARTQ1990HF,PARTQ2000HF,PARTQ2010HF,PARTQ2020HF,PARTQTOTALHF,PARTQUNKWNLF,PARTQPRE40LF,PARTQ1940LF,PARTQ1950LF,PARTQ1960LF,PARTQ1970LF,PARTQ1980LF,PARTQ1990LF,PARTQ2000LF,PARTQ2010LF,PARTQ2020LF,PARTQTOTALLF,PARTQUNKWNTOTAL,PARTQPRE40TOTAL,PARTQ1940TOTAL,PARTQ1950TOTAL,PARTQ1960TOTAL,PARTQ1970TOTAL,PARTQ1980TOTAL,PARTQ1990TOTAL,PARTQ2000TOTAL,PARTQ2010TOTAL,PARTQ2020TOTAL,PARTQTOTAL
3/1/2022,2019,20200337,18153,300,"PLAINS PIPELINE, L.P.",HVL,INTERSTATE,MICHIGAN,0,0,0,0,0,0,0,0.01,0,0.01,,0.02,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.01,0,0.01,,0.02
3/1/2022,2019,20200337,18153,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,38.83,,38.83,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,38.83,,38.83
3/1/2022,2019,20200337,18153,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,9.15,,9.15,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,9.15,,9.15
3/1/2022,2019,20200338,17568,300,"PLAINS PIPELINE, L.P.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,0,0,0,0,0,0,15.5,1.9,0.9,0.2,,18.5,0,0.6,15,0,0.4,0,0,0,0,0,,16,0,0.6,15,0,0.4,0,15.5,1.9,0.9,0.2,,34.5
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,0,0,0,0,0,0,2.4,1.1,2.9,0.7,,7.1,0,0,0,0,0.5,0.9,0,0,0,0,,1.4,0,0,0,0,0.5,0.9,2.4,1.1,2.9,0.7,,8.5
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,0,0,0,0,0,0,0,0.1,0.1,0,,0.2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.1,0.1,0,,0.2
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,0,0,0,0,0,0.5,0.1,0.1,0,0.5,,1.2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.5,0.1,0.1,0,0.5,,1.2
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MINNESOTA,0,0,0,0,0,0,0.1,0.7,0.9,0,,1.7,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.1,0.7,0.9,0,,1.7
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,0,0,0,0,0,0.1,0.4,54.6,0.3,0,,55.4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.1,0.4,54.6,0.3,0,,55.4
3/1/2022,2019,20200560,18002,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,COLORADO,,,,,,,0.66,0.95,,141.12,,142.73,,,,,,,,,,,,0,,,,,,,0.66,0.95,,141.12,,142.73
3/1/2022,2019,20200560,18002,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,TEXAS,,,,,,,,,,317.72,,317.72,,,,,,,,,,,,0,,,,,,,,,,317.72,,317.72
3/1/2022,2019,20200560,18002,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,WYOMING,,,,,,,,,,,,0,,,,,29.6,2,,,,,,31.6,,,,,29.6,2,,,,,,31.6
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,COLORADO,,,,,,3.57,,4.2,,64.93,,72.7,,,,,,,,,,,,0,,,,,,3.57,,4.2,,64.93,,72.7
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,TEXAS,,,,,,,,,,51.72,,51.72,,,,,,,,,,,,0,,,,,,,,,,51.72,,51.72
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,UTAH,,,,,,,,,16.5,14.8,,31.3,,,,,,,,,,,,0,,,,,,,,,16.5,14.8,,31.3
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,WYOMING,,,,,,,2,2,,,,4,,,,,,,,,,,,0,,,,,,,2,2,,,,4
3/1/2022,2019,20200232,17456,515,DAKOTA GASIFICATION COMPANY,CO2,INTERSTATE,NORTH DAKOTA,,,,,,,,164.55,2.22,0.27,,167.04,,,,,,,,,,,,0,,,,,,,,164.55,2.22,0.27,,167.04
3/1/2022,2019,20200508,17752,879,CHEMOIL TERMINALS CORP.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3/1/2022,2019,20200367,17600,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",Crude Oil,INTERSTATE,OCS-Gulf of Mexico,,,,,,,,,,17.43,,17.43,,,,,,,,,,,,0,,,,,,,,,,17.43,,17.43
3/1/2022,2019,20200175,17398,999,"PACIFIC COAST ENERGY COMPANY, LP",Crude Oil,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
3/1/2022,2019,20200666,17927,1047,HESS CORPORATION,Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,,,,,,16,,,,,,16,,,,,,,,,,,,0,,,,,,16,,,,,,16
3/1/2022,2019,20200526,17770,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,MONTANA,0,0,0,0,0,65,0,0,0,0,,65,,,,,9,,,,,,,9,0,0,0,0,9,65,0,0,0,0,,74
3/1/2022,2019,20200526,17770,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,NORTH DAKOTA,0,0,0,0,0,66,38,19,32,16,,171,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,66,38,19,32,16,,171
3/1/2022,2019,20200526,17770,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,WYOMING,,,,,,15,,1,3,47,,66,,,,,351,,,,,,,351,,,,,351,15,,1,3,47,,417
3/1/2022,2019,20200527,17771,1248,BELLE FOURCHE PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,WYOMING,,,,,49,,,27,,,,76,,,,,,,,,,,,0,,,,,49,,,27,,,,76
3/1/2022,2019,20200269,17494,1541,"BP PIPELINES (ALASKA), INC",Crude Oil,INTRASTATE,ALASKA,0,0,0,0,0,0,6.1,0,5.3,0,,11.4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.1,0,5.3,0,,11.4
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,INDIANA,0,0,0,0,0,0,0,0,0,1.52,,1.52,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1.52,,1.52
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,OHIO,0,0,0,0,0,0,0,0,0,0,,0,0,0,1.168,0,0,0,0,0,0,0,,1.168,0,0,1.168,0,0,0,0,0,0,0,,1.168
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,6.985,,6.985,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,6.985,,6.985
3/1/2022,2019,20200581,17828,1845,"BUCKEYE PARTNERS, LP",Fuel Grade Ethanol (dedicated system),INTERSTATE,FLORIDA,0,0,0,0,0,0,0,0,0,1.722,,1.722,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1.722,,1.722
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,FLORIDA,0,0,0,0,0,0,0,0,0,1.733,,1.733,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1.733,,1.733
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,ILLINOIS,0,0,0,0,0,0,0,0,13.079,0,,13.079,0.46,0,0,0,0,0,0,0,0,0,,0.46,0.46,0,0,0,0,0,0,0,13.079,0,,13.539
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,INDIANA,0,0,0,0,0,0,0,0,0.61,0.198,,0.808,0,0,0,0,1.011,0,0,0,0,0,,1.011,0,0,0,0,1.011,0,0,0,0.61,0.198,,1.819
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,OHIO,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.928,0,0,0,0,0,0,,0.928,0,0,0,0.928,0,0,0,0,0,0,,0.928
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTRASTATE,TEXAS,0,0,0,0,0,0,0,6.051,4.791,5.89,,16.732,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6.051,4.791,5.89,,16.732
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,CONNECTICUT,0,0,0,0,0,9.103,1.745,2.928,7.188,0.107,,21.071,0,0,0,0,69.524,0,0,0,0,0,,69.524,0,0,0,0,69.524,9.103,1.745,2.928,7.188,0.107,,90.595
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,0,0,0,0,0,15.559,7.646,16.161,1.894,3.362,,44.622,0,227.972,0.109,248.403,146.881,0,0,0,0,0,,623.365,0,227.972,0.109,248.403,146.881,15.559,7.646,16.161,1.894,3.362,,667.987
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,0,0,0,0,0,10.946,0.695,9.21,36.334,3.009,,60.194,0,85.49,154.225,140.341,377.067,0,0,0,0,0,,757.123,0,85.49,154.225,140.341,377.067,10.946,0.695,9.21,36.334,3.009,,817.317
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,0,0,0,0,0,2.323,0.682,1.004,0.85,1.812,,6.671,0,0,0,106.992,0.118,0,0,0,0,0,,107.11,0,0,0,106.992,0.118,2.323,0.682,1.004,0.85,1.812,,113.781
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MAINE,0,0,0,0,0,0.64,0.475,0.517,0.178,0,,1.81,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.64,0.475,0.517,0.178,0,,1.81
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MASSACHUSETTS,0,0,0,0,0,0,0.002,0.553,0.048,0.249,,0.852,0,0,0,0,20.095,0,0,0,0,0,,20.095,0,0,0,0,20.095,0,0.002,0.553,0.048,0.249,,20.947
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,0,0,0,0,0,44.476,8.29,2.945,4.36,2.609,,62.68,0.661,0,0.104,97.871,174.213,0,0,0,0,0,,272.849,0.661,0,0.104,97.871,174.213,44.476,8.29,2.945,4.36,2.609,,335.529
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,0,0,0,0,0,0.97,5.027,5.329,2.37,2.881,,16.577,0,5.767,0,0,0,0,0,0,0,0,,5.767,0,5.767,0,0,0,0.97,5.027,5.329,2.37,2.881,,22.344
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW JERSEY,0,0,0,0,0,51.719,0.095,0.361,1.17,10.046,,63.391,0,0,0,17.514,19.384,0,0,0,0,0,,36.898,0,0,0,17.514,19.384,51.719,0.095,0.361,1.17,10.046,,100.289
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW YORK,0,0,0,0,0,0.784,7.723,3.719,3.535,6.368,,22.129,0,0,226.476,108.71,91.4,0,0,0,0,0,,426.586,0,0,226.476,108.71,91.4,0.784,7.723,3.719,3.535,6.368,,448.715
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,OHIO,0,0,0,0,0,167.638,21.063,4.184,19.552,10.143,,222.58,0,0.821,157.587,126.763,464.977,0,0,0,0,0,,750.148,0,0.821,157.587,126.763,464.977,167.638,21.063,4.184,19.552,10.143,,972.728
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,PENNSYLVANIA,0,0,0,0,0,40.677,2.638,11.076,30.276,2.805,,87.472,0,0,240.9,102.046,207.114,0,0,0,0,0,,550.06,0,0,240.9,102.046,207.114,40.677,2.638,11.076,30.276,2.805,,637.532
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,ALABAMA,0,0,0,0,0,0,0,0,0,0.021,,0.021,0,0,0,0,1.959,0,0,0,0,0,,1.959,0,0,0,0,1.959,0,0,0,0,0.021,,1.98
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,IOWA,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.073,0,0,0,0,0,0,,0.073,0,0,0,0.073,0,0,0,0,0,0,,0.073
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,0,0,0,0,0,0,0,0,0.234,0,,0.234,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.234,0,,0.234
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,1.723,5.655,,7.378,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1.723,5.655,,7.378
3/1/2022,2019,20200528,17772,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,MONTANA,,,,55,,,,,,98,,153,,,,,,,,,,,,0,,,,55,,,,,,98,,153
3/1/2022,2019,20200528,17772,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,WYOMING,,,,62,,,,,,23,,85,,,,35,,,,,,,,35,,,,97,,,,,,23,,120
3/1/2022,2019,20200047,17257,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,LOUISIANA,,,,,,163.9,,,,0.51,,164.41,,,,,,,,,,,,0,,,,,,163.9,,,,0.51,,164.41
3/1/2022,2019,20200047,17257,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,TEXAS,,,,,,82.35,0.08,,,0.21,,82.64,,,,,,,,,,,,0,,,,,,82.35,0.08,,,0.21,,82.64
3/1/2022,2019,20200616,17866,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MONTANA,0,0,0,0,11.34,18.3,0,0,122,145,,296.64,0,0,0,2.1,0,0,0,0,0,0,,2.1,0,0,0,2.1,11.34,18.3,0,0,122,145,,298.74
3/1/2022,2019,20200616,17866,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NORTH DAKOTA,0,0,0,0,130.39,0,0,254.92,1,0.59,,386.9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,130.39,0,0,254.92,1,0.59,,386.9
3/1/2022,2019,20200146,17369,2190,CENTRAL FLORIDA PIPELINE CORP,Refined and/or Petroleum Product (non-HVL),INTRASTATE,FLORIDA,0,0,0,0,0,80.1,1.66,112.04,1.27,4.28,,199.35,0,0,0,0,3.95,0,0,0,0,0,,3.95,0,0,0,0,3.95,80.1,1.66,112.04,1.27,4.28,,203.3
3/1/2022,2019,20200264,17489,2387,CITGO PIPELINE CO,Crude Oil,INTERSTATE,LOUISIANA,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3/1/2022,2019,20200264,17489,2387,CITGO PIPELINE CO,Crude Oil,INTERSTATE,TEXAS,,,,,,,,0.174,0.14,,,0.314,17.61,,,,,0.015,,,,,,17.625,17.61,,,,,0.015,,0.174,0.14,,,17.939
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ALABAMA,0.27,0,0,0,2.01,12.1,3.09,0.93,2.94,0,,21.34,0,0,0,0,0,0,0,0,0,0,,0,0.27,0,0,0,2.01,12.1,3.09,0.93,2.94,0,,21.34
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,DELAWARE,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,GEORGIA,5.48,0,0,0,1.56,364.61,118,22.63,5.35,0,,517.63,0,0,0,0.09,112.54,0,0,0,0,0,,112.63,5.48,0,0,0.09,114.1,364.61,118,22.63,5.35,0,,630.26
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,LOUISIANA,0,0,0,0,0.15,36.67,0,14.67,0,1.4,,52.89,0,0,0,0,14.99,0,0,0,0,0,,14.99,0,0,0,0,15.14,36.67,0,14.67,0,1.4,,67.88
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MARYLAND,0.32,0,0,0,4.57,0.28,40.64,1.18,0.41,0,,47.4,0.14,0,0,0,77.6,0,0,0,0,0,,77.74,0.46,0,0,0,82.17,0.28,40.64,1.18,0.41,0,,125.14
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSISSIPPI,0,0,0,0,0,102.62,0,2.34,0,1.17,,106.13,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,102.62,0,2.34,0,1.17,,106.13
