DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLHIGHPOPON,PARTLOTHPOPON,PARTLDWON,PARTLECRESON,PARTLCNAVWON,PARTLSEGMILESTOTALON,PARTLECRESOFF,PARTLCNAVWOFF,PARTLSEGMILESTOTALOFF
3/1/2022,2018,20190517,16948,26048,HUNT REFINING CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,ALABAMA,40.2,35.2,0,0,40.2,40.2,,,
3/1/2022,2018,20190383,16810,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Crude Oil,INTERSTATE,ILLINOIS,0,9.24,60.9,6.48,0,76.62,,,
3/1/2022,2018,20190383,16810,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Crude Oil,INTERSTATE,INDIANA,0,1.2,0,7,0,8.2,,,
3/1/2022,2018,20190383,16810,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Crude Oil,INTERSTATE,KENTUCKY,0,0,0.5,0,0.5,0.5,,,
3/1/2022,2018,20190383,16810,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Crude Oil,INTRASTATE,ILLINOIS,,0.06,,,,0.06,,,
3/1/2022,2018,20190383,16810,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Crude Oil,INTRASTATE,INDIANA,0,0.1,0,0,0,0.1,,,
3/1/2022,2018,20190382,16809,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",Refined and/or Petroleum Product (non-HVL),INTRASTATE,INDIANA,31.1,157.9,209.6,209.6,,210.1,,,
3/1/2022,2018,20190255,16668,26054,KEY WEST PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,FLORIDA,0,3,0,1,1,3,4,4,4
3/1/2022,2018,20190198,16609,26061,"DELEK CRUDE LOGISTICS, LLC.",Crude Oil,INTERSTATE,OKLAHOMA,,0.3,,,,0.3,,,
3/1/2022,2018,20190198,16609,26061,"DELEK CRUDE LOGISTICS, LLC.",Crude Oil,INTERSTATE,TEXAS,0.18,5.07,2.33,,,7.58,,,
3/1/2022,2018,20190198,16609,26061,"DELEK CRUDE LOGISTICS, LLC.",Crude Oil,INTRASTATE,TEXAS,27.1,25.92,26.17,0,0,79.19,,,
3/1/2022,2018,20190231,16644,26061,"DELEK CRUDE LOGISTICS, LLC.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,,8.4,12.1,2.81,,17.08,,,
3/1/2022,2018,20190622,17054,26065,CHS MCPHERSON REFINERY INC.,HVL,INTRASTATE,KANSAS,0,3.55,0,3.37,0,6.92,,,
3/1/2022,2018,20190615,17047,26065,CHS MCPHERSON REFINERY INC.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,KANSAS,0,5.13,0,8.02,0,13.14,,,
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTERSTATE,ALABAMA,0.77,0.11,0.56,0.77,0.77,0.77,,,
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,ALABAMA,0,0,0,0,0,0,,,
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,51.35,20.57,15.58,68.35,5.46,110.39,,,
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,LOUISIANA,0,0,0,0,0,0,,,
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,NEW MEXICO,0,0,0,0,0,0,,,
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,OKLAHOMA,0,0,0,0,0,0,,,
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,TEXAS,0,0,0,0,0,0,,,
3/1/2022,2018,20190345,17613,26085,"PLAINS MARKETING, L.P.",HVL,INTERSTATE,MICHIGAN,0,0,0,0,0,0,,,
3/1/2022,2018,20190345,17613,26085,"PLAINS MARKETING, L.P.",HVL,INTERSTATE,SOUTH CAROLINA,10.53,8.26,21.6,22.18,0,41.77,,,
3/1/2022,2018,20190345,17613,26085,"PLAINS MARKETING, L.P.",HVL,INTRASTATE,ARIZONA,1.67,7.62,0,0,0,7.62,,,
3/1/2022,2018,20190084,16478,26086,SEADRIFT PIPELINE CORP,HVL,INTRASTATE,TEXAS,78.68,125.04,0,58.09,10.82,222.72,,,
3/1/2022,2018,20190548,17183,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MARYLAND,8.4,0.8,0,2.1,2.7,8.4,,,
3/1/2022,2018,20190548,17183,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW JERSEY,1.6,0,1.6,0,0,1.6,,,
3/1/2022,2018,20190548,17183,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW YORK,0.2,0,0.2,0,0.2,0.2,,,
3/1/2022,2018,20190548,17183,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,Refined and/or Petroleum Product (non-HVL),INTERSTATE,WASHINGTON DC,2.8,0,0,0.5,0.5,2.8,,,
3/1/2022,2018,20190548,17183,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,7.5,0.25,1.2,0.25,0,7.5,,,
3/1/2022,2018,20190548,17183,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,5.2,0,4.3,0.2,0.3,5.2,,,
3/1/2022,2018,20190548,17183,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,OREGON,0.2,0.7,0,0.7,0,0.7,,,
3/1/2022,2018,20190548,17183,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,VIRGINIA,9.2,4.5,7.5,0.1,0.9,9.2,,,
3/1/2022,2018,20190579,17010,26099,TAMPA BAY PIPELINE CO.,HVL,INTRASTATE,FLORIDA,49.9,11.4,5.7,15.3,0,82.24,,,
3/1/2022,2018,20190504,16935,26103,"TEXAS EASTMAN DIVISION, EASTMAN CHEMICAL CO",HVL,INTRASTATE,TEXAS,50.2,62.46,0,3.6,0,116.26,,,
3/1/2022,2018,20190498,16929,26111,UNITED REFINING CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW YORK,0,0,0.93,0,0,0.93,,,
3/1/2022,2018,20190200,16611,26112,VALERO REFINING-TEXAS L.P.,Crude Oil,INTRASTATE,TEXAS,5.68,2.16,2.16,2.16,2.16,5.68,,,
3/1/2022,2018,20190202,16613,26112,VALERO REFINING-TEXAS L.P.,HVL,INTRASTATE,TEXAS,13.52,0.86,0.76,0.76,1.16,13.52,,,
3/1/2022,2018,20190201,16612,26112,VALERO REFINING-TEXAS L.P.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,31.79,9.25,9.25,9.25,9.25,31.79,,,
3/1/2022,2018,20190539,16970,26120,COLLINS PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,LOUISIANA,0.9,17,8.6,14.8,1.1,42.3,,,
