DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTQUNKWNHF,PARTQPRE40HF,PARTQ1940HF,PARTQ1950HF,PARTQ1960HF,PARTQ1970HF,PARTQ1980HF,PARTQ1990HF,PARTQ2000HF,PARTQ2010HF,PARTQ2020HF,PARTQTOTALHF,PARTQUNKWNLF,PARTQPRE40LF,PARTQ1940LF,PARTQ1950LF,PARTQ1960LF,PARTQ1970LF,PARTQ1980LF,PARTQ1990LF,PARTQ2000LF,PARTQ2010LF,PARTQ2020LF,PARTQTOTALLF,PARTQUNKWNTOTAL,PARTQPRE40TOTAL,PARTQ1940TOTAL,PARTQ1950TOTAL,PARTQ1960TOTAL,PARTQ1970TOTAL,PARTQ1980TOTAL,PARTQ1990TOTAL,PARTQ2000TOTAL,PARTQ2010TOTAL,PARTQ2020TOTAL,PARTQTOTAL
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MISSISSIPPI,,,,,,5.33,6.25,21.28,0.29,0.01,,33.16,,,6.25,,13.67,,,,,,,19.92,,,6.25,,13.67,5.33,6.25,21.28,0.29,0.01,,53.08
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MONTANA,,,,,,,,,4.14,0.01,,4.15,,,,,,,,,,,,0,,,,,,,,,4.14,0.01,,4.15
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,NEW MEXICO,,,,,,,,16.73,,52.43,,69.16,,,,,,,,,,,,0,,,,,,,,16.73,,52.43,,69.16
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,OKLAHOMA,0.16,,,0.1,,85.41,0.09,13.72,12.79,179.4,2.04,293.71,,,0.61,18.58,25.82,,,,,,,45.01,0.16,,0.61,18.68,25.82,85.41,0.09,13.72,12.79,179.4,2.04,338.72
3/1/2022,2020,20210605,18847,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,TEXAS,35.94,,,0.02,,97.99,6.96,33.76,50.73,1469.99,,1695.39,,0.52,76.45,81.25,62.76,1.33,,,,,,222.31,35.94,0.52,76.45,81.27,62.76,99.32,6.96,33.76,50.73,1469.99,,1917.7
3/1/2022,2020,20210607,18715,300,"PLAINS PIPELINE, L.P.",HVL,INTERSTATE,MICHIGAN,,,,,,,,0.01,,0.01,,0.02,,,,,,,,,,,,0,,,,,,,,0.01,,0.01,,0.02
3/1/2022,2020,20210607,18715,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,CALIFORNIA,,,,,,,,,,38.89,,38.89,,,,,,,,,,,,0,,,,,,,,,,38.89,,38.89
3/1/2022,2020,20210607,18715,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,TEXAS,,,,,,,,,,9.16,,9.16,,,,,,,,,,,,0,,,,,,,,,,9.16,,9.16
3/1/2022,2020,20210299,18396,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,0,0,0,0,0,0,15.9,1.5,0.9,0.2,,18.5,0,0.6,15,0,0.4,0,0,0,0,0,,16,0,0.6,15,0,0.4,0,15.9,1.5,0.9,0.2,,34.5
3/1/2022,2020,20210299,18396,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,0,0,0,0,0,0,2.4,1.1,2.9,0.7,,7.1,0,0,0,0,0.5,0.9,0,0,0,0,,1.4,0,0,0,0,0.5,0.9,2.4,1.1,2.9,0.7,,8.5
3/1/2022,2020,20210299,18396,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1
3/1/2022,2020,20210299,18396,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,0,0,0,0,0,0.5,0.1,0.1,0,0.5,,1.2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.5,0.1,0.1,0,0.5,,1.2
3/1/2022,2020,20210299,18396,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MINNESOTA,0,0,0,0,0,0,0.1,0.7,0.9,0,,1.7,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.1,0.7,0.9,0,,1.7
3/1/2022,2020,20210299,18396,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,0,0,0,0,0,0.1,0.4,54.6,0.3,0,,55.4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.1,0.4,54.6,0.3,0,,55.4
3/1/2022,2020,20210428,18530,473,"WESTERN MIDSTREAM PARTNERS, LP",Crude Oil,INTRASTATE,COLORADO,,,,,,,,,,121.81,0.66,122.47,,,,,,,,,,,,0,,,,,,,,,,121.81,0.66,122.47
3/1/2022,2020,20210428,18530,473,"WESTERN MIDSTREAM PARTNERS, LP",Crude Oil,INTRASTATE,TEXAS,,,,,,,,,,312.49,,312.49,,,,,,,,,,,,0,,,,,,,,,,312.49,,312.49
3/1/2022,2020,20210428,18530,473,"WESTERN MIDSTREAM PARTNERS, LP",Crude Oil,INTRASTATE,WYOMING,,,,,,,,,,,,0,,,,,26.5,2,,,,,,28.5,,,,,26.5,2,,,,,,28.5
3/1/2022,2020,20210429,18531,473,"WESTERN MIDSTREAM PARTNERS, LP",HVL,INTRASTATE,COLORADO,,,,,,3.57,,4.18,,67.9,1.03,76.68,,,,,,,,,,,,0,,,,,,3.57,,4.18,,67.9,1.03,76.68
3/1/2022,2020,20210429,18531,473,"WESTERN MIDSTREAM PARTNERS, LP",HVL,INTRASTATE,TEXAS,,,,,,,,,,52.22,,52.22,,,,,,,,,,,,0,,,,,,,,,,52.22,,52.22
3/1/2022,2020,20210429,18531,473,"WESTERN MIDSTREAM PARTNERS, LP",HVL,INTRASTATE,UTAH,,,,,,,,,16.5,14.8,,31.3,,,,,,,,,,,,0,,,,,,,,,16.5,14.8,,31.3
3/1/2022,2020,20210429,18531,473,"WESTERN MIDSTREAM PARTNERS, LP",HVL,INTRASTATE,WYOMING,,,,,,,2,2,,,,4,,,,,,,,,,,,0,,,,,,,2,2,,,,4
3/1/2022,2020,20210297,18394,515,DAKOTA GASIFICATION COMPANY,CO2,INTERSTATE,NORTH DAKOTA,,,,,,,,164.55,2.22,0.27,,167.04,,,,,,,,,,,,0,,,,,,,,164.55,2.22,0.27,,167.04
3/1/2022,2020,20210336,18433,879,CHEMOIL TERMINALS LLC,Crude Oil,INTRASTATE,CALIFORNIA,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3/1/2022,2020,20210335,18432,879,CHEMOIL TERMINALS LLC,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3/1/2022,2020,20210375,18472,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",Crude Oil,INTERSTATE,OCS-Gulf of Mexico,,,,,,,,,,17.43,,17.43,,,,,,,,,,,,0,,,,,,,,,,17.43,,17.43
3/1/2022,2020,20210143,18214,999,"PACIFIC COAST ENERGY COMPANY, LP",Crude Oil,INTRASTATE,CALIFORNIA,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3/1/2022,2020,20210706,18846,1047,HESS CORPORATION,Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,,,,,,16,,,,,,16,,,,,,,,,,,,0,,,,,,16,,,,,,16
3/1/2022,2020,20210084,18143,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,MONTANA,0,0,0,0,0,65,0,0,0,0,0,65,,,,,9,,,,,,0,9,0,0,0,0,9,65,0,0,0,0,0,74
3/1/2022,2020,20210084,18143,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,NORTH DAKOTA,0,0,0,0,0,39,0,18,32,35,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,18,32,35,0,124
3/1/2022,2020,20210084,18143,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,WYOMING,,,,,10,15,,1,2,58,0,86,,,,,350,,,,,,0,350,,,,,360,15,,1,2,58,0,436
3/1/2022,2020,20210083,18142,1248,BELLE FOURCHE PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,WYOMING,,,,,49,,,27,,,0,76,,,,,,,,,,,0,0,,,,,49,,,27,,,0,76
3/1/2022,2020,20210648,18850,1541,"HILCORP NORTH SLOPE, LLC",Crude Oil,INTRASTATE,ALASKA,0,0,0,0,0,0,6.1,0,5.3,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,5.3,0,0,11.4
3/1/2022,2020,20210527,18630,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,INDIANA,,,,,,,,,,1.52,,1.52,,,,,,,,,,,,0,,,,,,,,,,1.52,,1.52
3/1/2022,2020,20210527,18630,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,OHIO,,,,,,,,,,,,0,,,1.168,,,,,,,,,1.168,,,1.168,,,,,,,,,1.168
3/1/2022,2020,20210527,18630,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTRASTATE,TEXAS,,,,,,,,,,3.202,0.298,3.5,,,,,,,,,,,,0,,,,,,,,,,3.202,0.298,3.5
3/1/2022,2020,20210529,18632,1845,"BUCKEYE PARTNERS, LP",Fuel Grade Ethanol (dedicated system),INTRASTATE,FLORIDA,,,,,,,,,,1.722,,1.722,,,,,,,,,,,,0,,,,,,,,,,1.722,,1.722
3/1/2022,2020,20210530,18633,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,ILLINOIS,,,,,,,,,13.079,,,13.079,0.46,,,,,,,,,,,0.46,0.46,,,,,,,,13.079,,,13.539
3/1/2022,2020,20210530,18633,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,INDIANA,,,,,,,,,0.61,0.198,,0.808,,,,,1.011,,,,,,,1.011,,,,,1.011,,,,0.61,0.198,,1.819
3/1/2022,2020,20210530,18633,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,OHIO,,,,,,,,,,,,0,,,,0.928,,,,,,,,0.928,,,,0.928,,,,,,,,0.928
3/1/2022,2020,20210530,18633,1845,"BUCKEYE PARTNERS, LP",HVL,INTRASTATE,FLORIDA,,,,,,,,,,1.733,,1.733,,,,,,,,,,,,0,,,,,,,,,,1.733,,1.733
3/1/2022,2020,20210530,18633,1845,"BUCKEYE PARTNERS, LP",HVL,INTRASTATE,TEXAS,,,,,,,,6.051,4.791,3.106,0.849,14.797,,,,,,,,,,,,0,,,,,,,,6.051,4.791,3.106,0.849,14.797
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,CONNECTICUT,,,,,,9.102,1.745,2.928,7.188,0.123,,21.086,,,,0.155,69.524,,,,,,,69.679,,,,0.155,69.524,9.102,1.745,2.928,7.188,0.123,,90.765
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,DELAWARE,,,,,,3.054,,,,,,3.054,,,,,,,,,,,,0,,,,,,3.054,,,,,,3.054
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,,,,,,15.559,7.646,16.161,1.894,3.373,0.398,45.031,,227.972,0.109,248.392,146.591,,,,,,,623.064,,227.972,0.109,248.392,146.591,15.559,7.646,16.161,1.894,3.373,0.398,668.095
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,,,,,,10.946,0.695,9.21,36.334,3.009,,60.194,,85.49,154.225,140.341,377.067,,,,,,,757.123,,85.49,154.225,140.341,377.067,10.946,0.695,9.21,36.334,3.009,,817.317
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,,,,,,2.323,0.682,1.004,0.85,2.713,,7.572,,,,106.992,0.118,,,,,,,107.11,,,,106.992,0.118,2.323,0.682,1.004,0.85,2.713,,114.682
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MAINE,,,,,,0.64,0.475,0.517,0.178,,,1.81,,,,,,,,,,,,0,,,,,,0.64,0.475,0.517,0.178,,,1.81
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MASSACHUSETTS,,,,,,,0.002,0.553,0.048,0.249,,0.852,,,,,20.13,,,,,,,20.13,,,,,20.13,,0.002,0.553,0.048,0.249,,20.982
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,,,,,,44.476,8.29,2.945,4.36,2.609,,62.68,0.661,,0.104,97.871,174.207,,,,,,,272.843,0.661,,0.104,97.871,174.207,44.476,8.29,2.945,4.36,2.609,,335.523
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,,,,,,0.965,5.008,5.329,2.37,3.165,,16.837,,5.767,,,,,,,,,,5.767,,5.767,,,,0.965,5.008,5.329,2.37,3.165,,22.604
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW JERSEY,,,,,,51.719,0.095,0.361,1.17,10.046,,63.391,,,,17.514,19.384,,,,,,,36.898,,,,17.514,19.384,51.719,0.095,0.361,1.17,10.046,,100.289
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW YORK,,,,,,0.784,7.723,3.719,3.535,6.37,,22.131,,,226.474,108.71,91.126,,,,,,,426.31,,,226.474,108.71,91.126,0.784,7.723,3.719,3.535,6.37,,448.441
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,OHIO,,,,,,167.637,21.063,4.177,19.552,10.249,,222.678,,0.821,157.587,126.763,464.92,,,,,,,750.091,,0.821,157.587,126.763,464.92,167.637,21.063,4.177,19.552,10.249,,972.769
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,PENNSYLVANIA,,,,,,40.677,2.638,11.068,30.276,2.866,,87.525,,,240.891,102.046,205.715,,,,,,,548.652,,,240.891,102.046,205.715,40.677,2.638,11.068,30.276,2.866,,636.177
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,ALABAMA,,,,,,,,,,0.021,,0.021,,,,,1.959,,,,,,,1.959,,,,,1.959,,,,,0.021,,1.98
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,IOWA,,,,,,,,,,,,0,,,,0.073,,,,,,,,0.073,,,,0.073,,,,,,,,0.073
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,,,,,,,,,0.234,,,0.234,,,,,,,,,,,,0,,,,,,,,,0.234,,,0.234
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3/1/2022,2020,20210082,18141,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,MONTANA,,,,55,,,,,,98,0,153,,,,,,,,,,,0,0,,,,55,,,,,,98,0,153
3/1/2022,2020,20210082,18141,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,WYOMING,,,,62,,,,,,23,0,85,,,,34,,,,,,,0,34,,,,96,,,,,,23,0,119
3/1/2022,2020,20210046,18101,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,LOUISIANA,,,,,,163.9,,,,0.51,0,164.41,,,,,,,,,,,0,0,,,,,,163.9,,,,0.51,0,164.41
3/1/2022,2020,20210046,18101,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,TEXAS,,,,,,82.35,0.08,,,0.21,0,82.64,,,,,,,,,,,0,0,,,,,,82.35,0.08,,,0.21,0,82.64
3/1/2022,2020,20210671,18782,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MONTANA,0,0,0,0,0,18.2,0,20.02,110.26,138.28,34.06,320.82,0,0,0,2.05,57.05,0,0,0,0,0,0,59.1,0,0,0,2.05,57.05,18.2,0,20.02,110.26,138.28,34.06,379.92
3/1/2022,2020,20210671,18782,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NORTH DAKOTA,0,0,0,0,0,0,0,254.86,0,0,147.84,402.7,0,0,0,0,131.73,0,0,0,0,0,0,131.73,0,0,0,0,131.73,0,0,254.86,0,0,147.84,534.43
3/1/2022,2020,20210313,18410,2190,CENTRAL FLORIDA PIPELINE CORP,Refined and/or Petroleum Product (non-HVL),INTRASTATE,FLORIDA,0,0,0,0,0,82.28,1.66,112.04,1.27,4.28,0,201.53,0,0,0,0,3.95,0,0,0,0,0,0,3.95,0,0,0,0,3.95,82.28,1.66,112.04,1.27,4.28,0,205.48
3/1/2022,2020,20210641,18751,2387,CITGO PIPELINE CO,Crude Oil,INTERSTATE,LOUISIANA,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
3/1/2022,2020,20210641,18751,2387,CITGO PIPELINE CO,Crude Oil,INTERSTATE,TEXAS,,,,,,,,0.174,0.14,,0.346,0.66,0,,,,,0.015,,,,,,0.015,0,,,,,0.015,,0.174,0.14,,0.346,0.675
3/1/2022,2020,20210664,18775,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ALABAMA,0.27,0,0,0,2.01,12.1,3.09,0.93,2.94,0,0,21.34,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,2.01,12.1,3.09,0.93,2.94,0,0,21.34
3/1/2022,2020,20210664,18775,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,DELAWARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022,2020,20210664,18775,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,GEORGIA,5.48,0,0,0,1.56,364.61,118,22.63,5.35,0,0,517.63,0,0,0,0.09,112.54,0,0,0,0,0,0,112.63,5.48,0,0,0.09,114.1,364.61,118,22.63,5.35,0,0,630.26
3/1/2022,2020,20210664,18775,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,LOUISIANA,0,0,0,0,0.15,36.67,0,14.67,0,1.4,0,52.89,0,0,0,0,14.99,0,0,0,0,0,0,14.99,0,0,0,0,15.14,36.67,0,14.67,0,1.4,0,67.88
3/1/2022,2020,20210664,18775,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MARYLAND,0.32,0,0,0,4.57,0.285,40.64,1.18,0.41,0,0,47.405,0.14,0,0,0,77.6,0,0,0,0,0,0,77.74,0.46,0,0,0,82.17,0.285,40.64,1.18,0.41,0,0,125.145
3/1/2022,2020,20210664,18775,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSISSIPPI,0,0,0,0,0,102.62,0,2.34,0,1.17,0,106.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.62,0,2.34,0,1.17,0,106.13
3/1/2022,2020,20210664,18775,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW JERSEY,0.03,0,0,0,17.71,0.07,1.95,1.29,2.96,0.12,0,24.13,2.05,0,0,4.9,41.3,0,0,0,0,0,0,48.25,2.08,0,0,4.9,59.01,0.07,1.95,1.29,2.96,0.12,0,72.38
3/1/2022,2020,20210664,18775,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW YORK,0,0,0,0,3.74,0,0,0.62,0.76,0.07,0,5.19,0,,0,0.39,1.2,0,0,0,0,0,0,1.59,0,0,0,0.39,4.94,0,0,0.62,0.76,0.07,0,6.78
