DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTIUNKWN,PARTIPRE20,PARTI192029,PARTI193039,PARTI194049,PARTI195059,PARTI196069,PARTI197079,PARTI198089,PARTI199099,PARTI200009,PARTI201019,PARTI202029,PARTITOTAL
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,OHIO,0,0,0,0,1.168,0,0,0,0,0,0,0,,1.168
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,6.985,,6.985
3/1/2022,2019,20200581,17828,1845,"BUCKEYE PARTNERS, LP",Fuel Grade Ethanol (dedicated system),INTERSTATE,FLORIDA,0,0,0,0,0,0,0,0,0,0,0,1.722,,1.722
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,FLORIDA,0,0,0,0,0,0,0,0,0,0,0,1.733,,1.733
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,ILLINOIS,0.46,0,0,0,0,0,0,0,0,0,13.079,0,,13.539
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,INDIANA,0,0,0,0,0,0,1.011,0,0,0,0.61,0.198,,1.819
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,OHIO,0,0,0,0,0,0.928,0,0,0,0,0,0,,0.928
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,6.051,4.791,5.894,,16.736
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,CONNECTICUT,0,0,0,0,0,0,69.543,9.103,1.745,2.96,7.189,0.107,,90.647
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,0,0,2.555,255.749,20.88,518.312,165.181,44.799,8.581,16.722,3.593,3.705,,1040.077
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,0,29.249,44.786,88.128,168.156,165.191,378.529,10.946,0.695,9.353,36.684,3.009,,934.726
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,0,0,0,52.757,92.25,175.023,1.18,2.49,0.69,1.004,0.859,1.812,,328.065
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MAINE,0,0,0,0,97.62,0,0,0.64,0.475,0.517,24.992,0,,124.244
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MASSACHUSETTS,0,0,0,0,0,0,20.095,0,0.002,0.554,0.049,0.249,,20.949
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,0.661,0,0,0,0.104,148.826,174.571,45.497,8.312,8.417,4.381,2.609,,393.378
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,0,,11.748,105.28,12.75,131.795,0.399,2.217,5.116,7.902,2.887,2.881,,282.975
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW JERSEY,0,0,0,0,0,54.049,24.479,58.336,0.099,0.361,1.17,10.226,,148.72
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW YORK,0,0,0,0,238.76,237.366,123.952,5.797,8.713,3.991,4.568,6.368,,629.515
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,OHIO,0,0,0,0.821,166.125,129.254,506.062,222.657,28.975,4.197,19.569,10.156,,1087.816
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,PENNSYLVANIA,0,0,0,0,244.53,569.529,217.967,44.688,2.69,12.033,30.281,2.855,,1124.573
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,ALABAMA,0,0,0,0,0,0,1.959,0,0,0,0,0.021,,1.98
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,IOWA,0,0,0,0,0,0.073,0,0,0,0,0,0,,0.073
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,0,0,0,0,0,0,0,0,0,0,0.234,0,,0.234
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,1.723,5.655,,7.378
3/1/2022,2019,20200528,17772,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,MONTANA,,,,,,124,,,,,,98,,222
3/1/2022,2019,20200528,17772,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,WYOMING,,,,,,214,,,,,,23,,237
3/1/2022,2019,20200047,17257,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,LOUISIANA,,,,,,,,165.59,,,,0.51,,166.1
3/1/2022,2019,20200047,17257,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,TEXAS,,,,,,,,82.35,,,,0.21,,82.56
3/1/2022,2019,20200616,17866,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MONTANA,,,,,,2.1,11.34,18.3,0,0,122,145,,298.74
3/1/2022,2019,20200616,17866,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NORTH DAKOTA,,,,,,,130.39,,,254.91,1,0.59,,386.89
3/1/2022,2019,20200146,17369,2190,CENTRAL FLORIDA PIPELINE CORP,Refined and/or Petroleum Product (non-HVL),INTRASTATE,FLORIDA,0,0,0,0,0,0,3.95,82.28,1.66,112.24,1.27,4.28,,205.68
3/1/2022,2019,20200264,17489,2387,CITGO PIPELINE CO,Crude Oil,INTERSTATE,LOUISIANA,,,,,,22.232,,,,,,,,22.232
3/1/2022,2019,20200264,17489,2387,CITGO PIPELINE CO,Crude Oil,INTERSTATE,TEXAS,17.887,,,,,41.193,,0.015,,0.174,0.44,,,59.709
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ALABAMA,0.67,0,0,0,0,0,172.8,201.75,3.09,16.04,19.42,0.03,,413.8
