DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTF1A,PARTF1B,PARTF1C,PARTF1D,PARTF1DOTH,PARTF1E,PARTF2A1,PARTF2A2,PARTF2A,PARTF2B,PARTF2BHCAOUTSIDE,PARTF2B1,PARTF2B2,PARTF2C1,PARTF2C2,PARTF2C3,PARTF2C4,PARTF2CTOT,PARTF3A,PARTF3B,PARTF3BHCAOUTSIDE,PARTF3C,PARTF3D,PARTF4A,PARTF4A1TOT,PARTF4A11,PARTF4A12,PARTF4B,PARTF4BHCAOUTSIDE,PARTF4B1,PARTF4B2,PARTF4C1,PARTF4C2,PARTF4C3,PARTF4C4,PARTF4CTOT,PARTF5A,PARTF5AOTH,PARTF5A11,PARTF5A12,PARTF5A1TOT,PARTF5B,PARTF5BHCAOUTSIDE,PARTF5B1,PARTF5B2,PARTF5C1,PARTF5C2,PARTF5C3,PARTF5C4,PARTF5CTOT,PARTF6A,PARTF6B,PARTF6BHCAOUTSIDE,PARTF6C,PARTF6D,PARTF6E,PARTF6F,PARTF6G,PARTGMBA,PARTGMRC,PARTGTOTMILES,PARTG1A,PARTG1B,PARTG1TOTMILES
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTRASTATE,TEXAS,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,3.6,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,3.6,0,,0,0,0,,,0,1.84,1.84,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,,822.28,842.77,108.8,0,,1773.85,,,630,580,,,,51,30,42,,123,157.6,2,,0,2,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,1931.45,582,,125,36,0,,,7.4,697.67,705.07,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,ALABAMA,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,2,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,2,0,,0,0,0,,,0,1.98,1.98,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,IOWA,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,2.7,2.7,0,0,,5.4,,,0,0,,,,0,0,0,,0,0.9,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,6.3,0,,0,0,0,,,0,3.06,3.06,,,
3/1/2022,2019,20200528,17772,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,,87.2,87.2,0,0,,174.4,,,9,9,,,,0,0,1,,1,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,174.4,9,,1,0,0,,,0,9.49,9.49,,,
3/1/2022,2019,20200047,17257,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,,144.56,144.56,0,0,,289.12,,,10,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,289.12,0,,0,0,0,,,0,144.56,144.56,,,
3/1/2022,2019,20200616,17866,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,,0,0,0,241.15,DEF with MFL Combination Tool,241.15,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,241.15,0,,0,0,0,,,0,241.15,241.15,,,
3/1/2022,2019,20200146,17369,2190,CENTRAL FLORIDA PIPELINE CORP,Refined and/or Petroleum Product (non-HVL),INTRASTATE,FLORIDA,111.77,111.77,0,0,,223.54,,,10,9,,,,1,0,0,,1,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,223.54,9,,1,0,0,,,0,96.88,96.88,,,
