DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTPONCPB,PARTPONCPC,PARTPONCUB,PARTPONCUC,PARTPONCUP,PARTPONCUO,PARTPONTOTAL,PARTPOFFCPB,PARTPOFFCPC,PARTPOFFCUB,PARTPOFFCUC,PARTPOFFCUP,PARTPOFFCUO,PARTPOFFTOTAL,PARTPCPBTOTAL,PARTPCPCTOTAL,PARTPCUBTOTAL,PARTPCUCTOTAL,PARTPCUPTOTAL,PARTPCUOTOTAL,PARTPTOTMILES,PARTPOTHER
3/1/2022,2018,20190198,16609,26061,"DELEK CRUDE LOGISTICS, LLC.",Crude Oil,INTERSTATE,TEXAS,0,103.15,0,0,0,0,103.15,0,0,0,0,0,0,0,0,103.15,0,0,0,0,103.15,
3/1/2022,2018,20190198,16609,26061,"DELEK CRUDE LOGISTICS, LLC.",Crude Oil,INTRASTATE,TEXAS,0,257.92,31.28,0,0,0,289.2,0,0,0,0,0,0,0,0,257.92,31.28,0,0,0,289.2,
3/1/2022,2018,20190231,16644,26061,"DELEK CRUDE LOGISTICS, LLC.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,0,118,0,0,0,0,118,0,0,0,0,0,0,0,0,118,0,0,0,0,118,
3/1/2022,2018,20190622,17054,26065,CHS MCPHERSON REFINERY INC.,HVL,INTRASTATE,KANSAS,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,13,
3/1/2022,2018,20190615,17047,26065,CHS MCPHERSON REFINERY INC.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,KANSAS,0,20.7,0,0,0,0,20.7,0,0,0,0,0,0,0,0,20.7,0,0,0,0,20.7,
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTERSTATE,ALABAMA,0,0.76,0,0,0,1.56,2.32,0,0,0,0,0,0,0,0,0.76,0,0,0,1.56,2.32,Undetermined
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTERSTATE,OKLAHOMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,ALABAMA,0,5.37,0,0,0,11.46,16.83,0,0,0,0,0,0,0,0,5.37,0,0,0,11.46,16.83,Undetermined
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,0.32,162.83,0,0,0,117.33,280.48,0,0,0,0,0,0,0,0.32,162.83,0,0,0,117.33,280.48,Undetermined
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,LOUISIANA,0,12.93,0,0,0,27.5,40.43,0,0,0,0,0,0,0,0,12.93,0,0,0,27.5,40.43,Undetermined
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,NEW MEXICO,0,21.46,0,0,0,0,21.46,0,0,0,0,0,0,0,0,21.46,0,0,0,0,21.46,
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,OKLAHOMA,0,0,0,0,7.01,11.43,18.44,0,0,0,0,0,0,0,0,0,0,0,7.01,11.43,18.44,Undetermined
3/1/2022,2018,20190344,17996,26085,"PLAINS MARKETING, L.P.",Crude Oil,INTRASTATE,TEXAS,12.84,29.74,0,0,0,32.12,74.7,0,0,0,0,0,0,0,12.84,29.74,0,0,0,32.12,74.7,Undetermined
3/1/2022,2018,20190345,17613,26085,"PLAINS MARKETING, L.P.",HVL,INTERSTATE,MICHIGAN,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.55,Undetermined
3/1/2022,2018,20190345,17613,26085,"PLAINS MARKETING, L.P.",HVL,INTERSTATE,SOUTH CAROLINA,0,62.68,0,0,0,0,62.68,0,0,0,0,0,0,0,0,62.68,0,0,0,0,62.68,
3/1/2022,2018,20190345,17613,26085,"PLAINS MARKETING, L.P.",HVL,INTRASTATE,ARIZONA,0,11.58,0,0,0,0,11.58,0,0,0,0,0,0,0,0,11.58,0,0,0,0,11.58,
3/1/2022,2018,20190084,16478,26086,SEADRIFT PIPELINE CORP,HVL,INTRASTATE,TEXAS,0,1024.54,0,0,0,0,1024.54,0,0,0,0,0,0,0,0,1024.54,0,0,0,0,1024.54,
