DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,PARTB_INTER_INTRA,PARTB_LOCATION_STATE_ABBR,PARTB_LOCATION_STATE_NAME,PARTB_LOCATION_COUNTY,PARTB_UNGS_FACILITY_NAME,PARTC_UNGS_RESERVOIR_NAME,PARTC_IN_SERVICE_YEAR,PARTC_RESERVOIR_TYPE,PARTC_INDICATOR_WELL_TEXT,PARTC_MAX_PRESSURE_PSIG,PARTC_RESERVOIR_MAX_DEPTH_FT,PARTC_RESERVOIR_MIN_DEPTH_FT,PARTC_NUM_INJ_WITHDRAW_WELLS,PARTC_NUM_MON_OBSV_WELLS,PARTC_NUM_WELLS_DRILLED,PARTC_NUM_WELLS_PLUG_ABANDON,PARTC_NUM_WELLS_SURF_SFTY_VALV,PARTC_NUM_WELLS_SUBS_SFTY_VALV,PARTC_NUM_WELLS_PROD_TUBE_ONLY,PARTC_NUM_WELLS_PROD_CASE_ONLY,PARTC_NUM_WELLS_CASE_AND_TUBE,PARTC_NUM_WELLS_OTHER_GASFLOW,PARTC_WELLS_OTHER_GASFLOW_DESC,PARTC_NUM_WELLS_NEW_TUBING,PARTC_NUM_WELLS_NEW_CASING,PARTC_NUM_WELLS_REMEDIATED,PARTC_NUM_WELLS_LEAKS,PARTC_NUM_WELLS_PRESS_TEST_MIT,PARTC_NUM_WELLS_CORROSION_MIT,PARTC_NUM_WELLS_OTHER_MIT,PARTC_WELLS_OTHER_MIT_DESC,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
3/1/2022,2018,20190002,1069,22189,PUGET SOUND ENERGY,Inter,WA,Washington,LEWIS,Jackson Prairie Storage Facility,ZONE 2,1964,Aquifer Reservoir,SU #21,795,2500,1700,44,16,0,0,44,0,0,37,7,0,,0,0,0,0,3,3,3,Vertilog included Casing Bond Log (CBL),INITIAL,2/19/2019,2/19/2019
3/1/2022,2018,20190002,1069,22189,PUGET SOUND ENERGY,Inter,WA,Washington,LEWIS,Jackson Prairie Storage Facility,ZONE 9,1972,Aquifer Reservoir,SU #903,1248,3500,3000,3,11,0,0,3,0,3,0,0,0,,3,0,0,0,4,4,4,Vertilog included Casing Bond Log (CBL),INITIAL,2/19/2019,2/19/2019
3/1/2022,2018,20190097,1212,22476,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),Intra,KY,Kentucky,DAVIESS,Bon Harbor,Waltersburg,1964,Hydrocarbon Reservoir,Bon Harbor #4,531.9,1250,1220,4,1,0,0,0,0,0,5,0,0,,0,0,0,0,0,3,0,,INITIAL,3/15/2019,3/15/2019
3/1/2022,2018,20190097,1212,22476,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),Intra,KY,Kentucky,DAVIESS,Grandview,Cypress,1955,Hydrocarbon Reservoir,13500(May#1),442.9,950,940,8,1,0,0,0,0,0,9,0,0,,0,0,2,0,2,2,0,,INITIAL,3/15/2019,3/15/2019
3/1/2022,2018,20190097,1212,22476,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),Intra,KY,Kentucky,DAVIESS,Hickory School,Bethel,1955,Hydrocarbon Reservoir,Cooper 9078,461,1050,1030,13,2,0,0,0,0,1,14,0,0,,0,0,0,0,0,4,0,,INITIAL,3/15/2019,3/15/2019
3/1/2022,2018,20190097,1212,22476,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),Intra,KY,Kentucky,HOPKINS,Kirkwood Springs,Palestine,1954,Hydrocarbon Reservoir,Ruby Richards #3,499.7,1150,1135,6,1,0,0,0,0,0,7,0,0,,0,0,0,0,0,0,0,,INITIAL,3/15/2019,3/15/2019
3/1/2022,2018,20190097,1212,22476,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),Intra,KY,Kentucky,HOPKINS,St. Charles,Hardinsburg,1970,Hydrocarbon Reservoir,Mason-Cowen #1,742.7,1850,1650,11,3,0,0,0,0,0,14,0,0,,0,0,0,0,0,1,0,,INITIAL,3/15/2019,3/15/2019
3/1/2022,2018,20190077,1191,22655,"WBI ENERGY TRANSMISSION, INC.",Inter,MT,Montana,FALLON,Baker,Baker,1945,Hydrocarbon Reservoir,#3013,150,1218,615,174,17,0,0,0,0,0,174,0,0,,0,0,2,5,0,0,0,,INITIAL,3/14/2019,3/14/2019
3/1/2022,2018,20190077,1191,22655,"WBI ENERGY TRANSMISSION, INC.",Inter,WY,Wyoming,JOHNSON,Billy Creek,Billy Creek,1947,Hydrocarbon Reservoir,WBI #1,1175,3299,3082,3,0,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,0,,INITIAL,3/14/2019,3/14/2019
3/1/2022,2018,20190077,1191,22655,"WBI ENERGY TRANSMISSION, INC.",Inter,WY,Wyoming,PARK,Elk Basin,Elk Basin,1949,Hydrocarbon Reservoir,EB #32,804,3466,2256,7,5,0,0,0,0,0,7,0,0,,0,0,0,0,0,0,0,,INITIAL,3/14/2019,3/14/2019
