DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,LNG_FACILITY_ID,FACILITY_NAME,UNIT_ID,NPMS_LNG_ID,FACILITY_STATE,FACILITY_ZIP_CODE,FACILITY_STATUS,IN_SERVICE_SINCE,LIQUEFACTION_RATE,NO_OF_VAPORIZERS,TOTAL_CAPACITY_MMCF,LNG_SOURCE,INTER_INTRA_STATE,NO_OF_LNG_TANKS,TOTAL_CAPACITY_BBLS,TYPE_OF_FACILITY,TYPE_OF_FACILITY_OTHER,FUNCTION_OF_FACILITY,FUNCTION_OF_FACILITY_OTHER,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1654,LNG-92-96,86282,,CA,95991,In Service,6/10/2013,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1655,LNG-91-96,86282,,CA,95991,In Service,6/10/2013,0,0,0,Truck,Intrastate,1,244,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1656,VAP-102,86282,VAP-102,CA,95991,Retired,5/21/2004,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1657,VAP-103,86282,VAP-103,CA,95991,Retired,5/21/2004,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1658,VAP-104,86282,VAP-104,CA,95991,Retired,10/26/2007,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1659,LNG-ORCA1,86282,,CA,95991,In Service,2/3/2006,0,0,0,Truck,Intrastate,1,73,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1660,LNG-91-150,86282,,CA,95991,In Service,5/21/2004,0,0,0,Truck,Intrastate,1,246,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1661,LNG-91-100,86282,,CA,95991,In Service,5/21/2004,0,0,0,Truck,Intrastate,1,267,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1662,LNG-91-70,86282,,CA,95991,In Service,5/8/2008,0,0,0,Truck,Intrastate,1,278,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1663,Vap-105,86282,,CA,95991,In Service,11/10/2011,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1664,Vap-106,86282,,CA,95991,In Service,12/21/2011,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1665,Vap-101,86282,,CA,95991,In Service,11/8/2011,0,1,13,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1666,LNG-91-200,86282,,CA,95991,In Service,7/13/2012,0,0,0,Truck,Intrastate,1,202,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1667,LNG-92-200,86282,,CA,95991,In Service,7/15/2012,0,0,0,Truck,Intrastate,1,202,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
03/01/22,2017,20180476,802,15007,PACIFIC GAS & ELECTRIC CO,1668,LAHX-1002,86282,,CA,95991,In Service,5/16/2014,0,4,1,Truck,Intrastate,0,0,Mobile/Temporary,,Other,Short-term planned/unplanned gas supply,INITIAL,3/7/2018,3/7/2018
